message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,A verified business is sending an important account or payment update that matches the user's active banking relationship.,0.9,message_0243
msg_091,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.93,message_0238;message_0381
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.83,none
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0151;message_0152
msg_040,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.9,message_0136;message_0135
msg_075,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.91,message_0206
msg_005,notify,personal,The sender directly asks this user for a response or action.,0.9,message_0065;message_0049
msg_104,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.9,message_0224;message_0050
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.9,message_0193;message_0194
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.93,message_0053
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.93,message_0369;message_0213
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0031;message_0400
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.9,message_0227
msg_008,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.88,message_0296;message_0072
msg_092,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.85,message_0346
msg_060,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.9,message_0176;message_0284
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.91,message_0245;message_0005
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.92,message_0115;message_0050
msg_045,notify,urgent,The sender directly asks this user for a response or action.,0.91,message_0146;message_0031
msg_052,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.93,message_0208;message_0207
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.88,message_0074;message_0073
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.88,message_0198;message_0197
msg_016,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.89,message_0024
msg_065,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.89,message_0261;message_0185
msg_038,mute,spam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0131;message_0132
msg_086,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.91,message_0017;message_0018
msg_094,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.88,message_0356
msg_029,digest,promotion,"The offer is potentially relevant, but it does not need immediate attention.",0.82,message_0113;message_0332
msg_105,mute,forward,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0233;message_0373
msg_002,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.91,message_0169;message_0003
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.91,message_0011;message_0242
msg_078,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.93,message_0211;message_0212
msg_013,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.89,message_0081;message_0082
msg_018,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0092;message_0026
msg_044,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.91,message_0143;message_0144
msg_032,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.88,message_0119;message_0285
msg_106,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.91,message_0234;message_0376
msg_006,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.88,message_0029;message_0044
msg_109,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0151;message_0152
msg_108,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0094;message_0093
msg_019,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0094;message_0093
msg_088,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0224;message_0050
msg_056,notify,urgent,The sender directly asks this user for a response or action.,0.91,message_0168;message_0226
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.88,message_0272;message_0033
msg_050,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.91,message_0279;message_0155
msg_083,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.85,message_0219
msg_063,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.91,message_0182;message_0181
msg_033,digest,personal,The message is safe casual chat with no urgent action required.,0.85,message_0121;message_0122
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.91,message_0193;message_0194
msg_020,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.91,message_0095;message_0096
msg_017,mute,scam,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0090;message_0089
msg_058,mute,forward,"Similar historical messages were ignored, dismissed, or muted by this user.",0.91,message_0078;message_0172
msg_026,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.93,message_0032;message_0107
msg_047,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.91,message_0149;message_0150
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.91,message_0148;message_0147
msg_042,notify,urgent,A school admin sent a same-day operational update that the user is likely to need immediately.,0.91,message_0140;message_0058
